ulasan_bersih,sentiment_score,sentiment_category,predicted_rating,panjang_ulasan
sulit login android tv via anycasttapi lihat tutorial ytub hasil jugasangat muas paket langgan murah banding lai audio video hd dolby atmos saran channel wild animal bahasa indonesia bantu tonton bayar via gopay bantu yg credit card via bri,-10,Negatif,1,39
baik tonton tonton rumah rebus,-6,Negatif,1,5
tambah opsi milih resolusi,4,Positif,4,4
please help me to connect to my smart tv when i log in to activate there only otp directly to the web not asking me to input the digit from my tv tolong bantu biar nonton tv kali active crime nanya no hp otp langsung masuk web nga kolom isi digit tv,-15,Negatif,1,52
langgan langgan nonton,4,Positif,4,3
aplikasi bagus terkadang bug freeze cuman tolong kualitas video tahan opsi pilih terkadang noise blur seriesfilm jaring lancar lancar moga perhati,-8,Negatif,1,21
bagus,-4,Negatif,2,1
pilih paket langgan tonton film langgan pilih paket langgan,6,Positif,5,9
ga distel tv android,0,Netral,3,4
udah pake wifi lag tolong baik aplikasi,-7,Negatif,1,7
bagus nih aplikasitapi kalo stranger think mantap nih aplikasi,-3,Negatif,2,9
mantapppp,0,Netral,3,1
banyak film nya kaka ,-3,Negatif,2,4
fiturnya keren ga nonton salur yah,0,Netral,3,6
kode verifikasi jd login,-3,Negatif,2,4
aplikasi error play movie,-9,Negatif,1,4
login tv,0,Netral,3,2
oke,2,Positif,4,1
lot yapadahal sdh didownload film,-5,Negatif,1,5
apklikasinya,0,Netral,3,1
ga log in,0,Netral,3,3
bayar tonton video kecewa apk gak,-7,Negatif,1,6
download sih bagus pakai iklan iklan sih gapapa iklan banget menit iklan gitu mending gausah langgan disney mending netflix,-11,Negatif,1,19
udah langgan beli paket data my telkomsel tp tetep langgan lg g kecewa sih,2,Positif,4,14
resolusi udah layar tetep ga hd,3,Positif,4,6
film amazing spederman ngak bahasa indonesia nya,-4,Negatif,2,7
yg plis serial india anupama gk,0,Netral,3,6
tolong atur utk autoplay nonaktif autoplay nya,-6,Negatif,1,7
ngeblankng d lihat yabuat langgan tahun klo g,5,Positif,5,8
flim nya tambahin min saran ,-3,Negatif,2,5
langgan nonton film layar hitam nonton trailer lancar aja maksud gimana ya tipu saya,-3,Negatif,2,14
tolong tambah koleksi anime aplikasi,-2,Negatif,2,5
good aplikasi ,1,Positif,4,2
overall ya puas sih filmkartun sana harap fitur download kartu sd simpan ga,1,Positif,4,13
aplikasi buruk iklan awas ,-12,Negatif,1,4
cinta banget disney,0,Netral,3,3
layar hitam,-4,Negatif,2,2
nggak sesuai harap,-3,Negatif,2,3
developer klo tolong masuk film the doll ya ,-1,Negatif,2,8
udah kali kode sms gak masuk udh d coba hari gak ya emosi kadang,-4,Negatif,2,14
disney bagus mudah cepat nga ribet nga kaya yg belah klo login aja nga,-18,Negatif,1,14
bagus,-4,Negatif,2,1
suka aja,0,Netral,3,2
update episode nya gak sorry bintang,-4,Negatif,2,6
gak ya pakek pulsa pulsa gak pulsa gak woy,-5,Negatif,1,9
gmn yaaku langgan bayar nya pake pulsaaku ambil yg bulan bayar rb pulsa tu rb pas bayar eh pulsa cukup pulsa lebih lho trs gmn solusi tolong ya developer baik secepatnyappls bgt nih,-19,Negatif,1,33
gak download mulu langgan gmna sih kemarin bagus gin nyesel langgan,-6,Negatif,1,11
aplikasi nya sungguh bagustapi harga mahal remaja yg kerja,-1,Negatif,2,9
buffering teross,0,Netral,3,2
seru cuk,-5,Negatif,1,2
halo admin sy saran kategori dasar sy ken nonton film marvel tp sy gak tau harap update ,-11,Negatif,1,17
apk idiot go,-5,Negatif,1,3
oke,2,Positif,4,1
update gak bs buka aplikasi,-7,Negatif,1,5
kah langgan nya pakai telkomsel ganti kartu telkomsel,-1,Negatif,2,8
konten sjw,0,Netral,3,2
nonton dh suruh bayar,-5,Negatif,1,4
masukin film fast furious min,0,Netral,3,5
akun black screen koneksi bagus,-8,Negatif,1,5
bgus,0,Netral,3,1
tambah film india nyah audio indo husus nyah,0,Netral,3,8
kapok nhga puter cm lancar minggu doang muter trailer lancar banget yg download ttp loading parah banget dag,-11,Negatif,1,18
kirim kode verifikasi pesan delay tolong baik lg bugnya,-10,Negatif,1,9
ditingkatin yabugnya gtu film udah bagus kok,-4,Negatif,2,7
update baru nonton tp update baru suruh berlanganan lagipadahal langgan bundling paket telkomsel,4,Positif,4,13
login gak,0,Netral,3,2
oke,2,Positif,4,1
uninstal stlh lg pakai nonton streaming telkomsel,0,Netral,3,7
kalo film beres pas tonton gabisa tonton kecewa disney hotstar aplikasi sislan,-9,Negatif,1,12
disney aplikasi eror solusi andal disney tonton tarik aplikasi mudah paham biaya langgan jangkau disney tolong solusi langgan,-8,Negatif,1,18
lancar,-2,Negatif,2,1
eror ya kak kemarin tonton habis langgan januari ya kak,-1,Negatif,2,10
bagus,-4,Negatif,2,1
dh langgan black screen,2,Positif,4,4
baguss,0,Netral,3,1
iniiiiiii kenapaaaa gaaaaa bisaaaaa diiiiii playyyyyy yaaa loadingggggg terusssss padahallll sinyaaaall bagussss kontollllllllll percuuumaaaa guaaaaaaa bayaarrrrrrr ngentottttttt,0,Netral,3,17
film nya aja film rugi min udah bayar film doank,-7,Negatif,1,10
streamingnya bagus biaya jangkau daftar perangkat mana bayar hubung perangkat tnpa ad paket pilihancukup log in kurang pilih utk profil blum ad apk profil anak n dewasa pisah kayak netflix n dewasa kunci password lebih bagus aj oya disney indonesia utk film arah lgbt hapus tayang,-23,Negatif,1,46
disney aplikasi streaming jarang kendala,-4,Negatif,2,5
patah patah kayak fps,-11,Negatif,1,4
empetttttttt taeeee,0,Netral,3,2
langgan telkomsel akses aplikasi suruh langgan kirim email respon,4,Positif,4,9
gak putar film hadeh parah polll,-9,Negatif,1,6
gak buka baik,-4,Negatif,2,3
indikasi lgbt nya anak ayam rumah n d serial tots season eps,-2,Negatif,2,12
daftar aja susah aplikasi,-9,Negatif,1,4
oke,2,Positif,4,1
langgan aplikasi hapus login otp kunjung terima,-6,Negatif,1,7
filmya bagus harga murah belah beli paket yg th bulan make lancar gilir pas buka aplikasi tau notif vpn kocak vpn enggakapalagi make vpn sampe nggak buka gajelas banget,-25,Negatif,1,29
pakai disney suru bayar lgi kirain bayar,-6,Negatif,1,7
error pl film padan uang keluar,-8,Negatif,1,6
update video putar s tab hp putar info yg cs disney nama putri balas solusi nonton lancar tab s,-5,Negatif,1,19
video qualitynya gak fungsi udah atur kualitas tetep burem banget,1,Positif,4,10
aksi film,2,Positif,4,2
amphibia episode banget updatenya udah tamat,-3,Negatif,2,6
telkomsel raih untung yaa nipu udah beli kuota multimedia gabisa pake yg kepake kuota utama kuota utama habis udah gitu aja gabisa nonton kuota multimedia nya ,-12,Negatif,1,26
dri kemarin ga spiderman no way home,0,Netral,3,7
nonton resolusi ubah low mohon baik,0,Netral,3,6
pasuk aplikasi loading jaring internet lancar,-6,Negatif,1,6
oke,2,Positif,4,1
burik buka keluar upssmatamu,-6,Negatif,1,4
gabisa login tv ya,4,Positif,4,4
bagus banget suka,-4,Negatif,2,3
fitur kode tv pergi,-6,Negatif,1,4
keren,0,Netral,3,1
oke,2,Positif,4,1
subset bug tonton kyk nipuu,-4,Negatif,2,5
kadang error kadang hp ngeframe kadang loading doang hadehhhh,3,Positif,4,9
fitur nya simpel ngasih judul film beranda aja nggak unduh kartu eksternal nggak,-5,Negatif,1,13
ga niat apk please hapus aja bikin rusak hp gimana developerny rusak parahh hp gw blank jam sat,-13,Negatif,1,18
login tv android box,0,Netral,3,4
coba subtitle nya bawah bikin sakit mata,-8,Negatif,1,7
tolong baik ting full screen tablet,-3,Negatif,2,6
baguss aplikasi legal lengkap film marvel,-7,Negatif,1,6
aplikasi gin sih aman aja make tampil home chanel india trus tolong baik ,-9,Negatif,1,13
aplikasi ni bagus,-8,Negatif,1,3
bug video ga putar loading mulu jaring bagus,-2,Negatif,2,8
serial lgbt,0,Netral,3,2
sngaja kasih bintang,-1,Negatif,2,3
suka rena film perangsaya suka film perang perang lengkapf,-8,Negatif,1,9
aplikasi bagus sayang film kartun lengkap,-14,Negatif,1,6
buruksya henti lngganan,-4,Negatif,2,3
potong diberitahukan aplikasi sial,-11,Negatif,1,4
gabisa buka ya salah trs udh uninstall trs download lg tp ttp gabisa buka,-6,Negatif,1,14
uninstall aja aplikasi guna rugi kuota download nih aplikasi login susah gilir dah login gak putar film bagus jelek ampun nih aplikasi,-35,Negatif,1,22
black screen streaming film sepertiny apk ny,0,Netral,3,7
mengecewakanmau login tv aja web dah gitu pake hp android ga muncul masukin kode tv nya iya pake hp iplaptop pc kecewa,-8,Negatif,1,22
mantab,0,Netral,3,1
uda minggu ga puter apan aplikasi gin pake fold mas aj bug,-4,Negatif,2,12
aplikasi error langgan,-7,Negatif,1,3
nonton vidio offline loading hahahah,0,Netral,3,5
mantappppppp baik pokok,-4,Negatif,2,3
film bagus pas payment ngga muluu,-3,Negatif,2,6
udah langgan pakai dsruh langgan aplikasi uras uang ajah saldo gue potong aplikasi nggak pakai,-10,Negatif,1,15
hooh,0,Netral,3,1
sih nontn langsung bug black screnn ga dasar,3,Positif,4,8
keren nonton aja sayang gak nonton harry potter yaudah seruu pakek kartu kredit bayar ya,-5,Negatif,1,15
sia enam isi shope pulsa langgan,-11,Negatif,1,6
mantap,5,Positif,5,1
aplikasi nya jelek banget film download putar tolong baik,-11,Negatif,1,9
ga login ganggu,-4,Negatif,2,3
,0,Netral,3,1
kesel banget apk nya udh hapus potong otomatis langgan nya,-4,Negatif,2,10
wwe mentah ,0,Netral,3,2
kode otp asa ngemis udah submit kali kali tetep gak kirim,-3,Negatif,2,11
sons of anarchy s e error kode errpb kocak ok udh atas mantab bintang,-10,Negatif,1,14
woi titanic film why not has langgan gratis coba banget demons apk trash langgan netflix,6,Positif,5,15
rugi bgt udh duit k kaga nnton muter mulu film nya kaga jalan coba film apa aja muter doang kalo trailer nya doang film tonton film nya gak yg kalo trailer nya aja tonton lancar kaga nya kuota sinyal rugi bgt bayar mahal nnton trailer film kalo trailer mah youtube gratis puas,-22,Negatif,1,52
jelek gabisa buka film,-8,Negatif,1,4
tolong baik aplikasi suka buffering sinyal,-8,Negatif,1,6
handphone gak drm hubung email responnya lambat,-2,Negatif,2,7
aplikasi jelek drama download muncul tulis download payah,-16,Negatif,1,8
menu subtitle film bahasa indonesia hasil download film offline hilang tonton online subtitle bahasa indonesia sedia rugi guna susah payah unduh subtitle bahasa indonesia tiadakanapa iya hapus hasil download nikmat film bersubtitel bahasa indonesianah gak etis mohon koreksi salah,-29,Negatif,1,39
bangsaatt didonload tonton,-4,Negatif,2,3
lalod,0,Netral,3,1
langgan nonton gak tolong tingkat rugi kalo kaya gin,-6,Negatif,1,9
lumayan hibur sih tp cari susah banget nemuin yg ken tonton,-13,Negatif,1,11
knapa langgan uang anggap tolong langgan,2,Positif,4,6
stuck loading apk jelek,-5,Negatif,1,4
n,0,Netral,3,1
memasukam kode otp nyesel bantuin gimana streaming tv udah bayar mahal,-7,Negatif,1,11
kasih bintang dl ya film nya banyak baharu,0,Netral,3,8
oke,2,Positif,4,1
gak masuk home ya aman tp skrg gk nonton hp google tv pdhl member baik donk ney,0,Netral,3,17
playback alami framedrop kurang alam tonton aplikasi tambah resolusi putar konsisten resolusi rendah atur resolusi tinggi,-14,Negatif,1,16
bayar pulsa gak sih langgan nyoba yg coba gak gagal tolong baik sistem nya,-16,Negatif,1,14
update gak pake aplikasi nya force close mulu langgan gak pake tolong baik ya aplikasi nya makasih,-4,Negatif,2,17
tambahin update animenya donk yg lengan drakornya udah ok jepangnya,4,Positif,4,10
alas gatau,-1,Negatif,2,2
yaa nonton kayak bug gitu frezz patah patah gitu hp iphone,-11,Negatif,1,11
nyaa bayar ,-3,Negatif,2,2
gak langgan bulan alih langgan tolong baik,0,Netral,3,7
film petshow to train your dragonkok gak,0,Netral,3,7
suka blank kadang close,0,Netral,3,4
makasih disneyhotstar bagus kasih bintang,-1,Negatif,2,5
update film film gak tarik,2,Positif,4,5
suka bgt revengev of others moga aja ad s,1,Positif,4,9
bantu tahan,-6,Negatif,1,2
aplikasi mental buka film tutup aplikasi,-13,Negatif,1,6
lengkapin film nya the mummy gak,0,Netral,3,6
gila jan pake langgan gw nggak uang sdng gw nonton venom dll tolong ya lepas langgan ny nonton hp,-4,Negatif,2,19
sih s coba bagus,-5,Negatif,1,4
langgan metode bayar apa kena error,-17,Negatif,1,6
sepi doa cirebon,-7,Negatif,1,3
film udah download gak tonton langgan gilir nonton film gak download lancar anehhhh,-4,Negatif,2,13
black screen tekan kualitas vidio,1,Positif,4,5
udh bundling dgn paket telkomsel yakenapa skrg suruh bayar,-1,Negatif,2,9
bagus murah disney lanjut episode series kartun kandang apk nya no respon hp d laptop bagus,-13,Negatif,1,16
isi pulsa hapus disney langgan selang jam muncul notif beli disney sya cek plsa sdh potong dn langgan bgaimana,-19,Negatif,1,19
bgt play film loading internet bagus aplikasi udh restart tetep aja gk ubah langgan klo nonton,-5,Negatif,1,16
film ga y,0,Netral,3,3
langgan akhir nonton film ga play nonton triler film nya play film nya gabisa tulis error,-3,Negatif,2,16
gimana sih udah beli paket my telkomsel tp pas nonton suruh bayar paket lg yg bener aja,3,Positif,4,17
keren,0,Netral,3,1
kali coba konek tvada kode tv pas masukin hp ga masukin kode yg tv,-4,Negatif,2,14
coba masuk langgan sms masuk kode akses mohon baik sistem,-13,Negatif,1,10
harap opsi tidur tonton rekomendasi film tutup aplikasi baterai buang,-22,Negatif,1,10
henti langgan gmna yadicari gk bsahelp,-2,Negatif,2,6
kemaren maksimal film download aneh batas download pakai kuota ngehe ni aplikasi,-10,Negatif,1,12
tunjuk rubah ukur font subtitles,3,Positif,4,5
bagus ,-4,Negatif,2,1
bagus pakai film putar langgan indihome tolong baik aplikasi nya langgan aplikasi ganggu saran langgan disney mending netflix,-19,Negatif,1,18
bagus banget lengkap aja harap banyak film series nya kartun,-11,Negatif,1,10
ganggu kakkok gk masuk aplikasitdi pagi,-10,Negatif,1,6
seru,-5,Negatif,1,1
tolong lokasi unduh pindah kartu eksternal,-5,Negatif,1,6
bnyakin drakor,0,Netral,3,2
banged error kode pl,-8,Negatif,1,4
buffering lemotsudah komen ngasih bintang solusi tarohan nie komen cuman numpang doank gak direspon,1,Positif,4,14
chanel keluarga,-3,Negatif,2,2
pindah lokasi aplikasi kost doank alih kerja pemberitahuan salah coba,-13,Negatif,1,10
amien,0,Netral,3,1
tonton video arah beli paket paket internet paket disney,1,Positif,4,9
thor love and thunder eror udah download offline tetep gabisa diplay,-7,Negatif,1,11
bug ngblur lh skip lh suara langgan gratis,5,Positif,5,8
filmserial detektif conan,-3,Negatif,2,3
jelek kali bayar kalo bayar bilang,-11,Negatif,1,6
disney ya masuk wifi tulis coba data seluler wifi erti tolong baik ,-8,Negatif,1,12
gk fitur naikin speed,0,Netral,3,4
audio gambar muncul klik video layar hitam subtitle,-10,Negatif,1,8
kali coba langgan disney tarik series film bagus ngeselin banget nonton ngebug ngefreeze parah subtitle suka delay ilangan tau gin sih mending gak langgan nyari yg ilegal alam nonton nya banding disney nyesel,-30,Negatif,1,33
film series nya tarik fiturfitur nya lengkap simpan unduh kartu sd simpel judul filmseries aja nggak nyesel langgan disney tau gitu mending web ilegal ato nggak aplikasi belah kalo kek gin,-23,Negatif,1,31
ga nyambung wifi internet ga connect,0,Netral,3,6
susah akses langgan telkomsel maxstream tolong mudah login nomor daftar paket nonton,-1,Negatif,2,12
hadeh update bug gabisa play film dah langgan gin hadeh,-9,Negatif,1,10
bagus,-4,Negatif,2,1
kalo film nya gratis gapapakenapa bayar gak suka aplikasi dasar bodoh,-4,Negatif,2,11
ganggu tanggal,-8,Negatif,1,2
tibatiba streaming fresh didownload film,-2,Negatif,2,5
udh langgan sih bagus keren banget,-1,Negatif,2,6
bro thor love and thunder gada suara sih,-4,Negatif,2,8
neng banget disney tampil anime betul suka anime request anime kuroshitsuji black butler ya,0,Netral,3,14
setting kualitas aja kualitas kayak film baja bikin mata sakit btw pake redmi note pro,-1,Negatif,2,15
tolong baik download film film putar cmn muter doang pdahal sbelumbya oke aja,-1,Negatif,2,13
engga putar filmdrama disney pakai kuota maxstreampadahal terang pakai disney,-5,Negatif,1,10
film nya yah,0,Netral,3,3
mantappp,0,Netral,3,1
film nya bagus bagus aplikasi kasih info dlu film need for speed nya ilang jarang pakai aplikasi september buka aplikasi cari film need for speed trs cari trs gk kembali film nya fans need for speed kecewa aja info nya ,-38,Negatif,1,40
bug habis nge pause video pas play gagal loading endingnya suruh restart hp kalo video restart hp kaya gitu hp honor x,-8,Negatif,1,22
jojo ocean stone ndk rilis disney plus kk,5,Positif,5,8
donload dulu,0,Netral,3,2
bener min resolusi ubah bikin sakit mata,-5,Negatif,1,7
bagus aplikasi n bagus,-12,Negatif,1,4
nybelin beli paket giganet buka,-2,Negatif,2,5
parah nih daftar sedot saldo tp gagal,-10,Negatif,1,7
aplikasi buka disney hotstar,-7,Negatif,1,4
star aplikasi rusak tonton film,-12,Negatif,1,5
bayar si nontonkatanya sosmed gratis ko bayar terima,0,Netral,3,8
sumpah aplikasi ga guna banget streaming apa langgan gak kayak aplikasi streaming yg lain,-17,Negatif,1,14
bagus apk nya,-4,Negatif,2,3
bug yahh coba ganti hp pake hp ram gb,-4,Negatif,2,9
bug,0,Netral,3,1
bamsat lo disney habis uang buka,-6,Negatif,1,6
disney ga streaming yaaa syg langgan nya sia ga bsa streaming tlg diprrbaiki,3,Positif,4,13
lelet,0,Netral,3,1
paket internet kartu paket tera layan disneyhotstar tdak nonton langgan ulang tdak nglink langsung,11,Positif,5,14
nonton hp android tv kmrn upgrade tv yg smart tv udh smart v tpi ya ngeselin tonton ngefreezzz pas lg nonton seru eh ngefreez,-7,Negatif,1,24
gak muter film ya black screen,4,Positif,4,6
download knp g buka aplikasi gmn nih min ,-7,Negatif,1,8
tarik nonton langgan nontok dik nggak download apk,1,Positif,4,8
cabut bintang kemarin film negeri  inflix,-5,Negatif,1,6
dinsey sihbukan nya bagussekarang parahsignal lgi bagusnyatapi nonton tergangguseolah sinyal gak bagustolong banyak drama baru gak sia kalo langgan kaya aplikasi sebelahterus drama thailand yg cuman disney thailand please disney indo,-26,Negatif,1,31
niat nambahin menu ga nonton menu cepat video nambahin cc subtitle menu opsi kualitas video tonton,-3,Negatif,2,16
hpku yg nonton aplikasi hankfreeze restartpadahal nonton video aplikasi gak masalahsemisal youtube,-8,Negatif,1,12
film drama nya keren,-4,Negatif,2,4
langgan nonton erorr gabisa buka uda gapernah buka saldo shopeepay kurang sedot disney langgan tetep gak buka tolong balikin saldo aja,-8,Negatif,1,21
okee kadang sakit baikbaik,-2,Negatif,2,4
daftar yg bulan g d bolehin tahun,-4,Negatif,2,7
film bagus,-4,Negatif,2,2
woiiiikita langgan uang tolong donk film punbgk putar,0,Netral,3,8
dar saran log in pasti ga pakai kode sms email whatsapp nunggu sms masuk terimakasih,0,Netral,3,15
mantap,5,Positif,5,1
ya subtitlenya gabisa besar kah,2,Positif,4,5
bagusss,0,Netral,3,1
suka,-1,Negatif,2,1
aplikasi yg lumayan bagus cuman film harap dc,-13,Negatif,1,8
drama mistresses yg tonton tibatiba lg disney hotstar tolong muncul langgan krn nonton drama ,-15,Negatif,1,14
bagus harga murah ,-3,Negatif,2,3
ilah opsional hubung dng disney negara video pilih kalo video batas bayar bulan,-12,Negatif,1,13
lanhganan,0,Netral,3,1
jangkau harga,3,Positif,4,2
bego apknya udh langgan pindah hp ngga tonton,-7,Negatif,1,8
senang,-4,Negatif,2,1
laporin kendala lgsg,-3,Negatif,2,3
taut tv jatuh resolusi ubah kualitas hasil beda kualitas rendah tengah dapat baik bantu selesai terima kasih,-8,Negatif,1,17
aplikasi nya bagus,-8,Negatif,1,3
langgan engga bayar hadehh parah,-6,Negatif,1,5
aplikasi bagussss,-4,Negatif,2,2
mantap,5,Positif,5,1
download daftar kualitas gambar kayak patah tolong baik,-12,Negatif,1,8
mantab,0,Netral,3,1
,0,Netral,3,1
streaming buffer lancar film film bagus up date,-6,Negatif,1,8
apk akses,2,Positif,4,2
jaring bagus video render buka youtube lancar tolong tingkat servernya kasih bintang,-8,Negatif,1,12
kalo pake nonton video nya patah patah gitu download patah patah bikin sakit kepala nonton nya patah patah kaya nonton video jeda jeda parah tolong baik,-39,Negatif,1,26
bosan film baru update,0,Netral,3,4
gw ga ngerasa langgan pulsa potong ga ikhlas tipu,-1,Negatif,2,9
video incredibles gua gabisa puter terima kasih,-2,Negatif,2,7
langgan jalan status langgan hilang langgan kecewa curang gitu sih,-3,Negatif,2,10
aplikasi cari ga radha krishna buang uang aja langgan,-7,Negatif,1,9
banget open aplikasi,-6,Negatif,1,3
tolong knp bug pada beli kouta telkomsel langgan disney hotstar pas masuk login akun langgan disney hotstar pada beli k bug alam buruk rugi moga orang alami,-23,Negatif,1,27
ga ga puter pdhal udh langgan,0,Netral,3,6
resolusi kecewa,3,Positif,4,2
aplikasi bagus film titanic hilang,-12,Negatif,1,5
payah nih ga buka udah bayar paket nikmatin udah ga pake,-2,Negatif,2,11
bagus,-4,Negatif,2,1
kaya ganti akun email bayar email kait,-7,Negatif,1,7
unduh aplikasi sangat suka disney salah satu cartoon disney paket komplit cartoon disney old new pixar aplikasi film nya genre drakornya benar muas pilih pake dubbing indonesia benar manja tonton pokok the best,-30,Negatif,1,33
ya,4,Positif,4,1
udah gak nonton loading doang gak muncul film tolong baik hotstar anjir parah aja nih apps gak nonton gw loading nya,-14,Negatif,1,21
ya min kasih bintang penuh konten radha krishna lanjut eps hotstar season ya harap dilanjutin hapus gimana sih serial drama india hapus gak sih baik dilanjutin hapus haduh min kecewa hotstar disney nya,-15,Negatif,1,33
tambahin chainsaw man,-1,Negatif,2,3
ketuk,0,Netral,3,1
disney hotstar tivi gak lg tayang film ya aman tp kemarin malam masalah kalo hp gak lancar,0,Netral,3,17
jelek disney pas nonton layar gk kek ngecrash warna hijau hijau kayak tinta bocor oke aja pas nonton laptop eh pas pindah laptop gk login udh bener login nya nya disney india breenegsek udh loh udh pusing mikirin nya udh bayat tahun sial,-10,Negatif,1,43
tolong film serial indanya hotstar india aja,-1,Negatif,2,7
,0,Netral,3,1
males banget skrg gabisa mirroring tv,-3,Negatif,2,6
langgan kayak beli kouta telkomselbisa kouta gb nonton disney,-4,Negatif,2,9
bagus,-4,Negatif,2,1
bagus film drama sayang buffering pdhal jaring lancar,-12,Negatif,1,8
kash bintang dulukalo lancar kendala rubah,-2,Negatif,2,6
cinta banget aplikasi harga ramah banget buka hp laptop tv biaya tambah kayak belah marvel si yg incar kartun disney terimakasih,-6,Negatif,1,21
taruh pendoo,4,Positif,4,2
hey ya login knp kode otp hey hey,1,Positif,4,8
tolong tim defeloper sd paket st bln suda daftar ko pas nonton langgan gi nie,0,Netral,3,15
ngapa aplikasi coba lagipadahal panjang otomatis ga gunainudh minggu ga masuk aplikasi panjang kena zonk aplikasi ga buka,-15,Negatif,1,18
kecewa banget sumpah udah x eror mulu salah putar konten drm silah coba pl udh coba unisntal trs pasang ulang hapus cache log out ttp aja hasil udh email tpi solusi yg signifikan dah capek henti langgan unsinstal permanen bye,-11,Negatif,1,40
kartuanimasi amphibia episode doang update,-1,Negatif,2,5
kadangkadang video patah pdhal video sdh download hp stabil tp lag,-3,Negatif,2,11
gimana sih tungguin kode otpnya gak muncul,-6,Negatif,1,7
loading nya ga bukaaaaa,0,Netral,3,4
mantap,5,Positif,5,1
langgan nonton black screen tolong perbaikin,0,Netral,3,6
filem nya jadul bosan,-3,Negatif,2,4
hapus aja bagus gak free langgan nya parahhhhhh,-1,Negatif,2,8
kecewa,0,Netral,3,1
knp langgan yaa update apknya,2,Positif,4,5
diplay loading,0,Netral,3,2
nambahin film elit nambahin episode sulit,0,Netral,3,6
ga tonton muter jaring bagus bayar lo,-8,Negatif,1,7
update film,0,Netral,3,2
apk bagus,-4,Negatif,2,2
film baru nya gak film india sdikit banget banyak film india film jadul indonesia,-5,Negatif,1,14
film yg putar tv lanjut hp error blank hitam muncul popup disney merespon diplay,-14,Negatif,1,14
dikembangin,0,Netral,3,1
udh langgan tpi video putar cmn loading aja sinyal oke oke aja pakai wifi jga tolong baik sayng langgan tpi nonton video apa,4,Positif,4,23
banget nunggu kode verifikasi,-1,Negatif,2,4
langgan ga klik virtual bayar heran,-4,Negatif,2,6
gak nontong lg telfon wa,0,Netral,3,5
bagus,-4,Negatif,2,1
muncul something wrong,-3,Negatif,2,3
suga,0,Netral,3,1
langgan bayar aja susah kali langgan bulan gak pilih bayar alih tahun udah tahun bayar gadak pilih bayar ,-15,Negatif,1,18
tampil nge frame patahpatah habis bersih chace nya trus restart hp normal kadang gak menit gitu,-2,Negatif,2,16
eror ga nonton kalo udah bener ubah rating,-5,Negatif,1,8
error langgan,-3,Negatif,2,2
usaha,-4,Negatif,2,1
otp,0,Netral,3,1
woiii tolol ngebug mulu woiii streaming bayar tp kualitas kek lk fix unsubscript sih sampah,-9,Negatif,1,15
blm langanan bln dah ga akses,-1,Negatif,2,6
beli paket nenapa film putar kaga nonton,1,Positif,4,7
gak mainakan video terang aplikasi alami putar video silah coba judul erpb judul film aja ga putar gimana solusi,0,Netral,3,19
